21,42,0,39
21,43,0,31
21,48,0,27
21,49,0,24
21,50,0,44
21,51,0,44
21,52,0,11
21,53,0,25
21,54,0,22
21,55,0,27
21,59,0,47
21,62,0,39
21,64,0,15
21,65,0,30
21,72,0,6
21,73,0,28
21,74,0,3
21,75,0,9
21,76,0,31
21,79,0,49
21,80,0,12
21,81,0,4
21,82,0,25
21,84,0,14
21,86,0,18
22,4,0,25
22,7,0,22
22,8,0,3
22,12,0,26
22,14,0,20
22,17,0,19
22,19,0,27
22,20,0,40
22,22,0,10
22,26,0,3
22,28,0,11
22,30,0,45
22,31,0,27
22,36,0,18
22,38,0,45
22,41,0,24
22,42,0,39
22,43,0,31
22,48,0,27
22,49,0,24
22,50,0,44
22,51,0,44
22,52,0,11
22,53,0,25
22,54,0,22
22,55,0,27
22,59,0,47
22,62,0,39
22,64,0,15
22,65,0,30
22,72,0,6
22,73,0,28
22,74,0,3
22,75,0,9
22,76,0,31
22,79,0,49
22,80,0,11
22,81,0,4
22,82,0,15
22,84,0,24
22,86,0,18
22,87,0,15
23,4,0,25
23,7,0,22
23,8,0,3
23,12,0,26
23,14,0,20
23,17,0,19
23,19,0,27
23,20,0,40
23,22,0,10
23,26,0,3
23,28,0,11
23,30,0,45
23,31,0,27
23,36,0,18
23,38,0,45
23,41,0,24
23,42,0,39
23,43,0,31
23,48,0,27
23,49,0,24
23,50,0,44
23,51,0,44
23,52,0,11
23,53,0,25
23,54,0,22
23,55,0,27
23,59,0,47
23,62,0,39
23,64,0,15
23,65,0,30
23,72,0,6
23,73,0,28
23,74,0,3
23,75,0,9
23,76,0,31
23,79,0,49
23,80,0,10
23,81,0,4
23,82,0,14
23,84,0,23
23,86,0,18
23,87,0,25
23,88,0,38
24,4,0,25
24,7,0,22
24,8,0,3
24,12,0,26
24,14,0,20
24,17,0,19
24,19,0,27
24,20,0,40
24,22,0,10
24,26,0,3
24,28,0,11
24,30,0,45
24,31,0,27
24,36,0,18
24,38,0,45
24,41,0,24
24,42,0,39
24,43,0,31
24,48,0,27
24,49,0,24
24,50,0,44
24,51,0,44
24,52,0,11
24,53,0,25
24,54,0,22
24,55,0,27
24,59,0,47
24,62,0,39
24,64,0,15
24,65,0,30
24,72,0,6
24,73,0,28
24,74,0,3
24,75,0,9
24,76,0,31
24,79,0,49
24,80,0,0
24,81,0,4
24,82,0,13
24,84,0,23
24,86,0,18
24,87,0,35
24,88,0,38
24,89,0,11
25,4,0,25
25,7,0,22
25,8,0,3
25,12,0,26
25,14,0,20
25,17,0,19
25,19,0,27
25,20,0,40
25,22,0,10
25,26,0,3
25,28,0,11
25,30,0,45
25,31,0,27
25,36,0,18
25,38,0,45
25,41,0,24
25,42,0,39
25,43,0,31
25,48,0,27
25,49,0,24
25,50,0,44
25,51,0,44
25,52,0,11
25,53,0,25
25,54,0,22
25,55,0,27
25,59,0,47
25,62,0,39
25,64,0,15
25,65,0,30
